"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2023-00090073","10/10/2023 23:30:00","10/11/2023 - 10:48","Assist Other Agency","CBE",NA,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
"2023-00090094","10/11/2023 14:17:00","10/11/2023 - 14:17","Injured/Sick Person","CBE",NA,"Police Impound Lot"
"2023-00090193","10/11/2023 18:30:00","10/11/2023 - 19:39","Theft","Investigation Pending",NA,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
"2023-00090201","10/11/2023 19:41:00","10/11/2023 - 20:07","Other Incident","CBE",NA,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
"2023-00090314","10/12/2023 03:46:00","10/12/2023 - 03:46","Recovered Stolen Property","CBE",NA,"Paint Branch Gate at 8966 Paint Branch Dr"
"2023-00090421","10/12/2023 12:55:00","10/12/2023 - 12:55","Injured/Sick Person","CBE",NA,"Yahentamitsi at 4136 Stadium Dr"
"2023-00090478","10/12/2023 00:00:00","10/12/2023 - 16:22","Other Incident","Investigation Pending",NA,"4100 block of Campus Dr"
"2023-00090490","10/12/2023 17:08:00","10/12/2023 - 17:08","Emergency Petition","CBE",NA,"4200 block of Chapel Ln"
"2023-00090536","10/12/2023 22:04:00","10/12/2023 - 22:04","Injured/Sick Person","CBE",NA,"Shuttle Bus Facility at 8537 Paint Branch Dr"
"2023-00090598","10/12/2023 23:50:00","10/12/2023 - 23:50","Alarm","CBE",NA,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
"2023-00090619","10/13/2023 01:27:00","10/13/2023 - 01:27","Injured/Sick Person","CBE",NA,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
"2023-00090626","10/12/2023 01:50:00","10/13/2023 - 01:50","Injured/Sick Person","CBE",NA,"Knox Rd"
"2023-00090820","10/12/2023 10:00:00","10/13/2023 - 10:21","Theft","Investigation Pending",NA,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
"2023-00090826","10/13/2023 10:47:00","10/13/2023 - 10:58","Other Incident","CBE",NA,"510 Luther Rd"
"2023-00090831","10/01/2023 00:01:00","10/13/2023 - 11:52","Threat Assessment","Active/Pending",NA,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
"2023-00090836","10/13/2023 12:00:00","10/13/2023 - 12:20","Emergency Petition","Active/Pending",NA,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
"2023-00090842","10/13/2023 14:44:00","10/13/2023 - 15:02","Accident - Departmental","CBE",NA,"Lot N9"
"2023-00090847","10/13/2023 07:17:00","10/13/2023 - 15:36","Vandalism","Investigation Pending",NA,"8100 block of La Plata Dr"
"2023-00090846","10/13/2023 14:44:00","10/13/2023 - 15:37","Dept Property Damage/Loss","Active/Pending",NA,"Lot N9"
"2023-00090898","10/13/2023 18:14:00","10/13/2023 - 18:14","Injured/Sick Person","CBE",NA,"Baltimore Ave"
"2023-00090944","10/13/2023 21:08:00","10/13/2023 - 21:08","Injured/Sick Person","CBE",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00090954","10/13/2023 21:57:00","10/13/2023 - 21:57","Injured/Sick Person","CBE",NA,"Regents Dr"
"2023-00090963","10/13/2023 21:40:00","10/13/2023 - 22:29","Sex Offense","Investigation Pending",NA,"Regents Dr"
"2023-00090984","10/13/2023 22:45:00","10/13/2023 - 23:37","Assault","CBE",NA,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
"2023-00090987","10/13/2023 23:40:00","10/13/2023 - 23:45","Assist Other Agency","CBE",NA,"Baltimore Ave"
"2023-00091034","10/14/2023 00:00:00","10/14/2023 - 01:31","Other Incident","CBE",NA,"4200 block of Farm Dr"
"2023-00091027","10/14/2023 01:35:00","10/14/2023 - 01:35","Injured/Sick Person","CBE",NA,"7300 block of Baltimore Ave"
"2023-00091046","10/14/2023 02:25:00","10/14/2023 - 02:25","Injured/Sick Person","CBE",NA,"4200 block of Farm Dr"
"2023-00091166","10/14/2023 02:00:00","10/14/2023 - 11:56","Assault","Arrest",NA,"48, Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
"2023-00091167","10/14/2023 00:30:00","10/14/2023 - 12:08","Vandalism","Investigation Pending",NA,"Elkton, Elkton Hall at 3981 Denton Service Ln"
"2023-00091222","10/14/2023 17:27:00","10/14/2023 - 17:27","CDS Violation","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2023-00091224","10/14/2023 15:10:00","10/14/2023 - 17:33","Theft from Auto","Investigation Pending",NA,"Club House, Golf Course Club House at 3800 Golf Course Rd"
"2023-00091252","10/14/2023 21:01:00","10/14/2023 - 21:01","Injured/Sick Person","CBE",NA,"7400 block of Hopkins Ave"
"2023-00091371","10/15/2023 01:11:00","10/15/2023 - 01:11","Injured/Sick Person","CBE",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2023-00091712","10/14/2023 21:00:00","10/15/2023 - 13:49","Vandalism","Investigation Pending",NA,"Johnson-Whittle Hall at 4118 Stadium Dr"
"2023-00091852","10/15/2023 19:52:00","10/15/2023 - 19:52","Injured/Sick Person","CBE",NA,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
"2023-00091925","10/15/2023 22:38:00","10/15/2023 - 22:38","Injured/Sick Person","CBE",NA,"23, Washington, Washington Hall at 4298 Lehigh Rd"
"2023-00092240","10/16/2023 09:50:00","10/16/2023 - 09:57","Assist Other Agency","CBE",NA,"7500 block of Hopkins Ave"
"2023-00092278","10/16/2023 10:50:00","10/16/2023 - 10:58","Theft","Investigation Pending",NA,"35, McKeldin Library at 7649 Library Ln"
"2023-00092291","10/14/2023 18:59:00","10/16/2023 - 11:52","Other Incident","CBE",NA,"Health Center at 3983 Campus Dr"
"2023-00092294","10/12/2023 17:00:00","10/16/2023 - 11:58","Theft","Active/Pending",NA,"4400 block of Stadium Dr"
"2023-00092374","10/16/2023 07:55:00","10/16/2023 - 16:32","Vandalism","Investigation Pending",NA,"Lot GG1"
"2023-00092599","10/17/2023 03:28:00","10/17/2023 - 03:28","Assist Other Agency","CBE",NA,"8200 block of Baltimore Ave"
"2023-00092779","10/17/2023 12:15:00","10/17/2023 - 13:01","Suspicious Activity","CBE",NA,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
"2023-00092799","10/06/2023 22:30:00","10/17/2023 - 14:08","Assist Other Agency","CBE",NA,"8100 block of Baltimore Ave"
"2023-00092979","10/18/2023 00:22:00","10/18/2023 - 00:22","Assist Other Agency","CBE",NA,"8100 block of Baltimore Ave"
"2023-00092989","10/18/2023 00:59:00","10/18/2023 - 00:59","Injured/Sick Person","CBE",NA,"Lot 11b"
"2023-00092992","10/18/2023 01:00:00","10/18/2023 - 01:20","Injured/Sick Person","CBE",NA,"Chapel Ln"
"2023-00093081","10/16/2023 15:00:00","10/18/2023 - 08:40","Assist Other Agency","Active/Pending",NA,"9630 Gudelsky Dr"
"2023-00093092","10/18/2023 08:45:00","10/18/2023 - 09:05","Dept Property Damage/Loss","CBE",NA,"North Gate at 4306 Campus Dr"
"2023-00093093","10/16/2023 12:00:00","10/18/2023 - 09:10","Other Incident","Active/Pending",NA,"61, Queen Anne, Queen Anne's Hall at 7645 Preinkert Dr"
"2023-00093158","10/15/2023 15:31:00","10/18/2023 - 12:19","Assist Other Agency","Active/Pending",NA,"4300 block of Hartwick Rd"
"2023-00093163","10/18/2023 12:33:00","10/18/2023 - 12:43","Injured/Sick Person","CBE",NA,"Benjamin, Benjamin Bldg, Benjamin Building at 3942 Campus Dr"
"2023-00093188","10/05/2023 18:15:00","10/18/2023 - 14:22","Theft","Unfounded",NA,"432 Paint Branch Dr"
"2023-00093200","10/18/2023 14:20:00","10/18/2023 - 15:06","Injured/Sick Person","CBE",NA,"Chesapeake, Chesapeake Building at 4300 Terrapin Trl"
"2023-00093214","10/18/2023 13:10:00","10/18/2023 - 16:04","Theft","Investigation Pending",NA,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
"2023-00093321","10/16/2023 20:00:00","10/18/2023 - 19:26","Theft","Investigation Pending",NA,"Frat 1, Greek House 1, KA, Kappa Alpha, Kappa Alpha Fraternity at 1 Fraternity Row"
"2023-00093397","10/19/2023 00:52:00","10/19/2023 - 00:52","Injured/Sick Person","CBE",NA,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
"2023-00093402","10/19/2023 01:09:00","10/19/2023 - 01:09","Warrant/Summons Service","CBE",NA,"University Blvd"
"2023-00093581","10/19/2023 10:43:00","10/19/2023 - 10:52","Assist Other Agency","CBE",NA,"4500 block of College Ave"
"2023-00093587","10/17/2023 21:00:00","10/19/2023 - 11:00","Theft","Investigation Pending",NA,"9, Chapel, Memorial Chapel at 7744 Regents Dr"
"2023-00093674","10/17/2023 21:00:00","10/19/2023 - 17:19","Stolen Motor Vehicle","Arrest",NA,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
"2023-00093814","10/19/2023 18:45:00","10/19/2023 - 21:57","Dept Property Damage/Loss","Active/Pending",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2023-00094207","10/20/2023 15:15:00","10/20/2023 - 15:17","Injured/Sick Person","CBE",NA,"Yale Ave"
"2023-00094210","10/19/2023 11:30:00","10/20/2023 - 15:27","Other Incident","Active/Pending",NA,"8100 block of Paint Branch Dr"
"2023-00094230","10/16/2023 05:45:00","10/20/2023 - 16:23","Lost Property","Active/Pending",NA,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
"2023-00094382","10/21/2023 00:03:00","10/21/2023 - 00:03","Injured/Sick Person","CBE",NA,"8100 block of La Plata Dr"
"2023-00094386","10/21/2023 00:44:00","10/21/2023 - 00:44","Injured/Sick Person","CBE",NA,"Cumberland Hall at 4250 Farm Dr"
"2023-00094424","10/21/2023 02:41:00","10/21/2023 - 02:41","Injured/Sick Person","CBE",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2023-00094616","10/21/2023 14:00:00","10/21/2023 - 14:02","Injured/Sick Person","CBE",NA,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
"2023-00094654","10/16/2023 11:00:00","10/21/2023 - 15:49","Theft from Auto","Investigation Pending",NA,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
"2023-00094794","10/21/2023 23:28:00","10/21/2023 - 23:28","Injured/Sick Person","Active/Pending",NA,"8200 block of Baltimore Ave"
"2023-00094796","10/21/2023 23:41:00","10/21/2023 - 23:41","Injured/Sick Person","CBE",NA,"7400 block of Baltimore Ave"
"2023-00094797","10/21/2023 23:58:00","10/21/2023 - 23:58","DWI/DUI","Arrest",NA,"Baltimore Ave"
"2023-00094800","10/22/2023 00:17:00","10/22/2023 - 00:17","Injured/Sick Person","CBE",NA,"4200 block of Farm Dr"
"2023-00094820","10/22/2023 02:19:00","10/22/2023 - 02:19","Injured/Sick Person","CBE",NA,"4400 block of Calvert Rd"
"2023-00094838","10/21/2023 23:00:00","10/22/2023 - 03:20","Theft","Investigation Pending",NA,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
"2023-00094888","10/22/2023 06:00:00","10/22/2023 - 06:16","Theft","Arrest",NA,"Fieldhouse Dr"
"2023-00094930","10/22/2023 09:01:00","10/22/2023 - 09:01","Injured/Sick Person","CBE",NA,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
"2023-00095111","10/21/2023 18:30:00","10/22/2023 - 16:02","Assist Other Agency","CBE",NA,"4600 block of Knox Rd"
"2023-00095121","09/27/2023 12:00:00","10/22/2023 - 16:58","Fraud","CBE",NA,"7600 block of Preinkert Dr"
"2023-00095140","10/22/2023 13:35:00","10/22/2023 - 17:50","Burglary","Investigation Pending",NA,"4300 block of Knox Rd"
"2023-00095205","10/22/2023 19:30:00","10/22/2023 - 21:31","Other Incident","Active/Pending",NA,"8000 block of Hagerstown Dr"
"2023-00095204","10/22/2023 21:31:00","10/22/2023 - 21:31","Trespassing","Arrest",NA,"Fleet Services Building at 7162 52nd Ave"
"2023-00095470","10/23/2023 12:54:00","10/23/2023 - 12:54","Assist Other Agency","CBE",NA,"4500 block of College Ave"
"2023-00095471","10/23/2023 12:55:00","10/23/2023 - 13:00","Domestic","CBE",NA,"4300 block of Rowalt Dr"
"2023-00095472","10/22/2023 23:00:00","10/23/2023 - 13:14","Assist Other Agency","CBE",NA,"8100 block of 48th Ave"
"2023-00095475","10/23/2023 12:30:00","10/23/2023 - 13:33","Peeping Tom","Investigation Pending",NA,"8000 block of Hagerstown Dr"
"2023-00095613","10/24/2023 00:33:00","10/24/2023 - 00:33","DWI/DUI","Arrest",NA,"Animal Science Service Building, Campus Farm at 8156 Regents Dr"
"2023-00095615","10/22/2023 22:50:00","10/24/2023 - 00:33","Theft","Active/Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00095688","10/24/2023 04:31:00","10/24/2023 - 04:31","Trespassing","CBE",NA,"4100 block of Library Ln"
"2023-00095786","10/24/2023 11:48:00","10/24/2023 - 11:52","Suspicious Activity","Investigation Pending",NA,"4100 block of Campus Dr"
"2023-00095796","10/24/2023 13:09:00","10/24/2023 - 13:09","Death Investigation","Active/Pending",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2023-00095926","10/24/2023 11:00:00","10/24/2023 - 21:13","Stolen Motor Vehicle","Active/Pending",NA,"3400 block of Tulane Dr"
"2023-00095943","10/24/2023 22:00:00","10/24/2023 - 22:23","Other Incident","Active/Pending",NA,"Paint Branch Building at 4505 Campus Dr"
"2023-00096006","10/25/2023 01:38:00","10/25/2023 - 01:38","Injured/Sick Person","CBE",NA,"Lot L"
"2023-00096045","10/25/2023 02:30:00","10/25/2023 - 02:57","Vandalism","Investigation Pending",NA,"8000 block of Hagerstown Dr"
"2023-00096116","10/24/2023 19:30:00","10/25/2023 - 09:48","Theft","Investigation Pending",NA,"15, Calvert, Calvert Hall at 7551 Calvert Service Ln"
"2023-00096270","10/25/2023 00:01:00","10/25/2023 - 21:40","Vandalism","Active/Pending",NA,"4200 block of Farm Dr"
"2023-00096314","10/25/2023 23:59:00","10/25/2023 - 23:59","Injured/Sick Person","CBE",NA,"3900 block of Denton Service Ln"
"2023-00096385","10/26/2023 02:53:00","10/26/2023 - 02:53","Assist Other Agency","CBE",NA,"Hope Lutheran Church, Lutheran Church at 4201 Guilford Dr"
